[distance	 angle	 speed	 height	 possibility] 
 	 304  	 50  	 1  	 9  	 1 
 	 305  	 50  	 1  	 8  	 1 
 	 306  	 50  	 1  	 7  	 1 
 	 307  	 50  	 1  	 6  	 1 
 	 308  	 50  	 1  	 5  	 1 
 	 309  	 50  	 1  	 4  	 1 
 	 310  	 50  	 1  	 2  	 1 
 	 311  	 50  	 1  	 11  	 1 
 	 312  	 50  	 1  	 10  	 1 
 	 313  	 50  	 1  	 9  	 1 
 	 314  	 50  	 1  	 8  	 1 
 	 315  	 50  	 1  	 7  	 1 
 	 316  	 50  	 1  	 5  	 1 
 	 317  	 50  	 1  	 4  	 1 
 	 318  	 50  	 1  	 3  	 1 
 	 319  	 50  	 1  	 12  	 1 
 	 320  	 50  	 1  	 11  	 1 
 	 321  	 50  	 1  	 10  	 1 
 	 322  	 50  	 1  	 9  	 1 
 	 323  	 50  	 1  	 7  	 1 
 	 324  	 50  	 1  	 6  	 1 
 	 325  	 50  	 1  	 5  	 1 
 	 326  	 50  	 1  	 4  	 1 
 	 327  	 50  	 1  	 3  	 1 
 	 328  	 50  	 1  	 12  	 1 
 	 329  	 50  	 1  	 11  	 1 
 	 330  	 50  	 1  	 10  	 1 
 	 331  	 50  	 1  	 8  	 1 
 	 332  	 50  	 1  	 7  	 1 
 	 333  	 50  	 1  	 6  	 1 
 	 334  	 50  	 1  	 5  	 1 
 	 335  	 50  	 1  	 4  	 1 
 	 336  	 50  	 1  	 3  	 1 
 	 337  	 50  	 1  	 12  	 1 
 	 338  	 50  	 1  	 11  	 1 
 	 339  	 50  	 1  	 10  	 1 
 	 340  	 50  	 1  	 8  	 1 
 	 341  	 50  	 1  	 7  	 1 
 	 342  	 50  	 1  	 6  	 1 
 	 343  	 50  	 1  	 5  	 1 
 	 344  	 50  	 1  	 4  	 1 
 	 345  	 50  	 1  	 3  	 1 
 	 346  	 50  	 1  	 12  	 1 
 	 347  	 50  	 1  	 11  	 1 
 	 348  	 50  	 1  	 10  	 1 
 	 349  	 50  	 1  	 8  	 1 
 	 350  	 50  	 1  	 7  	 1 
 	 351  	 50  	 1  	 6  	 1 
 	 352  	 50  	 1  	 5  	 1 
 	 353  	 50  	 1  	 4  	 1 
